"","dem_vote","marital_id","state_id"
"865",1,1,"arkansas"
"866",1,1,"arkansas"
"867",0,1,"arkansas"
"868",0,1,"arkansas"
"869",0,0,"arkansas"
"870",0,1,"arkansas"
"871",0,1,"arkansas"
"872",1,0,"arkansas"
"873",0,1,"arkansas"
"874",1,1,"arkansas"
"875",1,0,"arkansas"
"876",0,1,"arkansas"
"877",0,1,"arkansas"
"878",0,1,"arkansas"
"879",1,1,"arkansas"
"880",0,1,"arkansas"
"881",0,1,"arkansas"
"882",0,1,"arkansas"
"883",0,1,"arkansas"
"884",0,1,"arkansas"
"885",1,0,"arkansas"
"886",1,0,"arkansas"
"887",0,1,"arkansas"
"888",0,0,"arkansas"
"889",1,0,"arkansas"
"890",1,0,"arkansas"
"891",1,1,"arkansas"
"892",0,0,"arkansas"
"893",1,0,"arkansas"
"894",0,0,"arkansas"
"895",0,1,"arkansas"
"896",0,1,"arkansas"
"897",1,1,"arkansas"
"898",0,0,"arkansas"
"899",0,1,"arkansas"
"900",1,0,"arkansas"
"901",1,1,"arkansas"
"902",0,1,"arkansas"
"903",1,0,"arkansas"
"904",0,1,"arkansas"
"905",0,1,"arkansas"
"906",0,1,"arkansas"
"907",1,1,"arkansas"
"908",1,1,"arkansas"
"909",0,1,"arkansas"
"910",1,1,"arkansas"
"911",0,1,"arkansas"
"912",0,1,"arkansas"
"913",0,1,"arkansas"
"914",1,0,"arkansas"
"915",1,1,"arkansas"
"916",0,1,"arkansas"
"917",0,0,"arkansas"
"918",0,0,"arkansas"
"919",0,1,"arkansas"
"920",1,1,"arkansas"
"921",0,1,"arkansas"
"922",1,1,"arkansas"
"923",0,0,"arkansas"
"924",0,1,"arkansas"
"925",0,1,"arkansas"
"926",1,0,"arkansas"
"927",0,1,"arkansas"
"928",0,1,"arkansas"
"929",0,0,"arkansas"
"930",0,0,"arkansas"
"931",1,1,"arkansas"
"932",0,1,"arkansas"
"933",0,0,"arkansas"
"934",0,1,"arkansas"
"935",1,0,"arkansas"
"936",1,1,"arkansas"
"937",0,0,"arkansas"
"938",0,0,"arkansas"
"939",1,1,"arkansas"
"940",0,0,"arkansas"
"941",0,1,"arkansas"
"942",1,1,"arkansas"
"943",0,1,"arkansas"
"944",0,1,"arkansas"
"945",1,0,"arkansas"
"946",1,0,"arkansas"
"947",0,1,"arkansas"
